Day,Ad name,Amount spent (USD),Results,Impressions,Link clicks,3-second video plays,Purchases conversion value,Video average play time,Video plays at 75%,Video plays,Preview link,Reporting starts,Reporting ends,Account Name,Creative Type,Hook,Creative Name
2025-08-13,Ad - AEF FB Image 83 - V18,2486.31,105.0,214273,1353.0,,2895.65,,,,https://www.facebook.com/?feed_demo_ad=120235309548440595&h=AQBcyKzcvbzTDP1jjco,2025-08-13,2025-08-13,AEF,Image,18,Image 83
2025-08-12,Ad - AEF FB Image 72 - V21,2404.78,107.0,94979,1409.0,,2133.77,,,,https://www.facebook.com/?feed_demo_ad=120232562389280595&h=AQAxJqufdNOiUlsocts,2025-08-12,2025-08-12,AEF,Image,21,Image 72
2025-08-12,Ad - AEF FB Image 83 - V18,2050.93,119.0,193517,1507.0,,3218.75,,,,https://www.facebook.com/?feed_demo_ad=120235309548440595&h=AQBcyKzcvbzTDP1jjco,2025-08-12,2025-08-12,AEF,Image,18,Image 83
2025-08-12,Ad - AEF FB Image 80 - V25,1954.19,91.0,89180,947.0,,1907.48,,,,https://www.facebook.com/?feed_demo_ad=120235309548520595&h=AQCx5BWjTaSdiwc-tyA,2025-08-12,2025-08-12,AEF,Image,25,Image 80
2025-08-12,Ad - AEF FB Image 78 - V23,1793.11,102.0,93169,1021.0,,2570.33,,,,https://www.facebook.com/?feed_demo_ad=120233942123650595&h=AQDjm98ZvUGi3DgzMiU,2025-08-12,2025-08-12,AEF,Image,23,Image 78
2025-08-12,Ad - AEF FB Image 70 - V15,1459.89,69.0,81419,894.0,,1308.14,,,,https://www.facebook.com/?feed_demo_ad=120232562389290595&h=AQAFBegLik5TmtgVtY4,2025-08-12,2025-08-12,AEF,Image,15,Image 70
2025-08-18,Ad - AEF FB Image 83 - V18,1360.77,55.0,107640,700.0,,1637.39,,,,https://www.facebook.com/?feed_demo_ad=120235309548440595&h=AQBcyKzcvbzTDP1jjco,2025-08-18,2025-08-18,AEF,Image,18,Image 83
2025-08-13,Ad - AEF FB Image 80 - V25,1256.16,55.0,62315,526.0,,994.99,,,,https://www.facebook.com/?feed_demo_ad=120235309548520595&h=AQCx5BWjTaSdiwc-tyA,2025-08-13,2025-08-13,AEF,Image,25,Image 80
2025-08-18,Ad - AEF FB Image 72 - V21,1170.17,48.0,50115,562.0,,1019.35,,,,https://www.facebook.com/?feed_demo_ad=120232562389280595&h=AQAxJqufdNOiUlsocts,2025-08-18,2025-08-18,AEF,Image,21,Image 72
2025-08-12,Ad - AEF FB Video 69 V4,1082.05,48.0,55659,397.0,10036.0,1041.63,2.0,305.0,49800.0,https://www.facebook.com/?feed_demo_ad=120218111850670595&h=AQCGTLO0yLywWFk_CU4,2025-08-12,2025-08-12,AEF,Video,4,Video 69
2025-08-15,Ad - AEF FB Image 83 - V18,1073.32,43.0,80253,513.0,,1527.77,,,,https://www.facebook.com/?feed_demo_ad=120235309548440595&h=AQBcyKzcvbzTDP1jjco,2025-08-15,2025-08-15,AEF,Image,18,Image 83
2025-08-15,Ad - AEF FB Image 72 - V21,971.01,40.0,37306,458.0,,1113.07,,,,https://www.facebook.com/?feed_demo_ad=120232562389280595&h=AQAxJqufdNOiUlsocts,2025-08-15,2025-08-15,AEF,Image,21,Image 72
2025-08-13,Ad - AEF FB Image 72 - V21,937.8,50.0,36848,546.0,,1163.12,,,,https://www.facebook.com/?feed_demo_ad=120232562389280595&h=AQAxJqufdNOiUlsocts,2025-08-13,2025-08-13,AEF,Image,21,Image 72
2025-08-12,Ad - AEF FB Image 77 - V21,924.44,38.0,54536,385.0,,718.91,,,,https://www.facebook.com/?feed_demo_ad=120233942123660595&h=AQBSl_rBKfNGaDDWCj8,2025-08-12,2025-08-12,AEF,Image,21,Image 77
2025-08-14,Ad - AEF FB Image 83 - V18,815.3,35.0,63179,430.0,,1047.56,,,,https://www.facebook.com/?feed_demo_ad=120235309548440595&h=AQBcyKzcvbzTDP1jjco,2025-08-14,2025-08-14,AEF,Image,18,Image 83
2025-08-18,Ad - AEF FB Image 80 - V25,765.88,37.0,39276,360.0,,814.34,,,,https://www.facebook.com/?feed_demo_ad=120235309548520595&h=AQCx5BWjTaSdiwc-tyA,2025-08-18,2025-08-18,AEF,Image,25,Image 80
2025-08-12,Ad - AEF FB Image 58 - V18,754.67,39.0,60607,516.0,,834.74,,,,https://www.facebook.com/?feed_demo_ad=120229193169600595&h=AQBL6YUKjX6WPA2omzk,2025-08-12,2025-08-12,AEF,Image,18,Image 58
2025-08-15,Ad - AEF FB Video 86 V2,669.82,22.0,28223,215.0,6693.0,484.7,3.0,649.0,24654.0,https://www.facebook.com/?feed_demo_ad=120232135856360595&h=AQAZKCtMrrIvRlqSBUc,2025-08-15,2025-08-15,AEF,Video,2,Video 86
