Day,"Ad name","Amount spent (USD)","Result type",Results,Impressions,"Link clicks","3-second video plays","Purchases conversion value","Video average play time","Video plays at 75%","Video plays","Preview link","Reporting starts","Reporting ends"
2025-08-13,"Ad - AEF FB Image 83 - V18",2486.31,"Website purchases",105,214273,1353,,2895.65,,,,https://www.facebook.com/?feed_demo_ad=120235309548440595&h=AQBcyKzcvbzTDP1jjco,2025-08-13,2025-08-13
2025-08-12,"Ad - AEF FB Image 72 - V21",2404.78,"Website purchases",107,94979,1409,,2133.77,,,,https://www.facebook.com/?feed_demo_ad=120232562389280595&h=AQAxJqufdNOiUlsocts,2025-08-12,2025-08-12
2025-08-12,"Ad - AEF FB Image 83 - V18",2050.93,"Website purchases",119,193517,1507,,3218.75,,,,https://www.facebook.com/?feed_demo_ad=120235309548440595&h=AQBcyKzcvbzTDP1jjco,2025-08-12,2025-08-12
2025-08-12,"Ad - AEF FB Image 80 - V25",1954.19,"Website purchases",91,89180,947,,1907.48,,,,https://www.facebook.com/?feed_demo_ad=120235309548520595&h=AQCx5BWjTaSdiwc-tyA,2025-08-12,2025-08-12
2025-08-12,"Ad - AEF FB Image 78 - V23",1793.11,"Website purchases",102,93169,1021,,2570.33,,,,https://www.facebook.com/?feed_demo_ad=120233942123650595&h=AQDjm98ZvUGi3DgzMiU,2025-08-12,2025-08-12
2025-08-12,"Ad - AEF FB Image 70 - V15",1459.89,"Website purchases",69,81419,894,,1308.14,,,,https://www.facebook.com/?feed_demo_ad=120232562389290595&h=AQAFBegLik5TmtgVtY4,2025-08-12,2025-08-12
2025-08-18,"Ad - AEF FB Image 83 - V18",1360.77,"Website purchases",55,107640,700,,1637.39,,,,https://www.facebook.com/?feed_demo_ad=120235309548440595&h=AQBcyKzcvbzTDP1jjco,2025-08-18,2025-08-18
2025-08-13,"Ad - AEF FB Image 80 - V25",1256.16,"Website purchases",55,62315,526,,994.99,,,,https://www.facebook.com/?feed_demo_ad=120235309548520595&h=AQCx5BWjTaSdiwc-tyA,2025-08-13,2025-08-13
2025-08-18,"Ad - AEF FB Image 72 - V21",1170.17,"Website purchases",48,50115,562,,1019.35,,,,https://www.facebook.com/?feed_demo_ad=120232562389280595&h=AQAxJqufdNOiUlsocts,2025-08-18,2025-08-18
2025-08-12,"Ad - AEF FB Video 69 V4",1082.05,"Website purchases",48,55659,397,10036,1041.63,2,305,49800,https://www.facebook.com/?feed_demo_ad=120218111850670595&h=AQCGTLO0yLywWFk_CU4,2025-08-12,2025-08-12
