Day,"Ad name","Amount spent (USD)","Result type",Results,Impressions,"Link clicks","3-second video plays","Purchases conversion value","Video average play time","Video plays at 75%","Video plays","Preview link","Reporting starts","Reporting ends"
2025-08-18,"Ad - FLA FB Video 82 V1",69.8,"Website purchases",4,1637,35,272,95.15,3,36,1327,https://www.facebook.com/?feed_demo_ad=120232997752580627&h=AQBCSATJJFkSHwa7TLE,2025-08-18,2025-08-18
2025-08-18,"Ad - FLA FB Video 77 V3",9.81,,,606,1,185,,3,8,577,https://www.facebook.com/?feed_demo_ad=120224720837520627&h=AQA3scIgwpxP5NDXoqY,2025-08-18,2025-08-18
2025-08-18,"Ad - FLA FB Video 60 V5",20.25,"Website purchases",1,1060,26,217,6,3,36,1026,https://www.facebook.com/?feed_demo_ad=120229033018890627&h=AQCIwwzsk6r6LIiCD_Q,2025-08-18,2025-08-18
2025-08-18,"Ad - FLA FB Video 60 V5",8.55,,,463,12,99,,3,16,450,https://www.facebook.com/?feed_demo_ad=120229032912620627&h=AQDKdujTMxQK4LY31Tg,2025-08-18,2025-08-18
2025-08-18,"Ad - FLA FB Video 60 V2",1741.55,"Website purchases",72,83410,789,15252,1630.17,3,1975,81215,https://www.facebook.com/?feed_demo_ad=120229032849780627&h=AQB085_ipEUAlOu8P10,2025-08-18,2025-08-18
2025-08-18,"Ad - FLA FB Video 54 V5.1",3.68,,,205,2,18,,2,1,193,https://www.facebook.com/?feed_demo_ad=120227916560680627&h=AQAopBjtmtwNHgvHRMI,2025-08-18,2025-08-18
2025-08-18,"Ad - FLA FB Video 54 V5",3.71,,,145,4,15,,5,4,143,https://www.facebook.com/?feed_demo_ad=120227907169940627&h=AQCs8_LwmxQtpU-qjEc,2025-08-18,2025-08-18
2025-08-18,"Ad - FLA FB Video 54 V1",10.17,,,481,8,59,,3,10,472,https://www.facebook.com/?feed_demo_ad=120227916189730627&h=AQAhf__pXF4eKPZjeu4,2025-08-18,2025-08-18
2025-08-18,"Ad - FLA FB Video 54 V5.1",2.58,,,123,1,18,,3,4,115,https://www.facebook.com/?feed_demo_ad=120227907894500627&h=AQBPqgtma9K3anyOjxA,2025-08-18,2025-08-18
2025-08-18,"Ad - FLA FB Video 54 V3",12.14,,,475,29,98,,4,28,460,https://www.facebook.com/?feed_demo_ad=120227907691960627&h=AQBaRgI-_w3yZbMat_g,2025-08-18,2025-08-18
2025-08-18,"Ad - FLA FB Image 22 V14",2.96,,,155,3,,,,,,https://www.facebook.com/?feed_demo_ad=120226866104570627&h=AQA5r6F7Aquy52B6Smk,2025-08-18,2025-08-18
2025-08-18,"Ad - FLA FB Image 22 V14",66.75,"Website purchases",3,4528,16,,146.5,,,,https://www.facebook.com/?feed_demo_ad=120226866294590627&h=AQAu_L1xk_kdr63jmz4,2025-08-18,2025-08-18
2025-08-18,"Ad - FLA FB Image 5 V14",68.29,"Website purchases",5,2768,12,,139.79,,,,https://www.facebook.com/?feed_demo_ad=120226240542050627&h=AQASX0QTdVHWjHaOPlY,2025-08-18,2025-08-18
2025-08-18,"Ad - FLA FB Image 5 V14",587.82,"Website purchases",35,15311,217,,697.06,,,,https://www.facebook.com/?feed_demo_ad=120226240213050627&h=AQCkSm8n-cShM_tfsTY,2025-08-18,2025-08-18
2025-08-18,"Ad - FLA FB Video 91 V1",10.35,,,346,11,55,,5,7,193,https://www.facebook.com/?feed_demo_ad=120225703103940627&h=AQDdY0ZJdVwOi0pquvI,2025-08-18,2025-08-18
2025-08-18,"Ad - FLA FB Video 77 V1",50.66,"Website purchases",4,2999,12,774,85.84,7,47,2324,https://www.facebook.com/?feed_demo_ad=120224720837550627&h=AQAlhbGzwZILkvswmdQ,2025-08-18,2025-08-18
2025-08-18,"Ad - FLA FB Video 77 V1",96.81,"Website purchases",5,5424,23,1365,32.64,3,75,4094,https://www.facebook.com/?feed_demo_ad=120224720816790627&h=AQB7IEcajFtRCSHraqc,2025-08-18,2025-08-18
2025-08-18,"Ad - FLA FB Video 64 V2",1066.03,"Website purchases",64,44669,882,9275,1454.31,3,860,41509,https://www.facebook.com/?feed_demo_ad=120229033210670627&h=AQCe5Vx3KKAjJusfs-k,2025-08-18,2025-08-18
2025-08-18,"Ad - FLA FB Video 77 V1",3256.79,"Website purchases",126,128026,1277,44304,3082.79,5,2990,97727,https://www.facebook.com/?feed_demo_ad=120224720703580627&h=AQAeVKYf3MZf3TgKBv8,2025-08-18,2025-08-18
2025-08-18,"Ad - FLA FB Video 77 V3",4.84,,,266,6,104,,6,13,230,https://www.facebook.com/?feed_demo_ad=120224720074470627&h=AQANb5CpTeBK-yKL9dI,2025-08-18,2025-08-18
2025-08-18,"Ad - FLA FB Video 77 V2",9.3,,,595,5,259,,4,14,586,https://www.facebook.com/?feed_demo_ad=120224719536490627&h=AQAhE_QBcl0Tb5Ceh_g,2025-08-18,2025-08-18
2025-08-18,"Ad - FLA FB Video 77 V1",59.71,"Website purchases",3,2308,19,454,53.17,4,41,1206,https://www.facebook.com/?feed_demo_ad=120224719060270627&h=AQBwDlw0DggBlrkodDM,2025-08-18,2025-08-18
2025-08-18,"Ad - FLA FB Video 89 V1",34.65,"Website purchases",1,1158,16,283,23.55,3,36,881,https://www.facebook.com/?feed_demo_ad=120221416279020627&h=AQAQN53RcnoFo4rgXkA,2025-08-18,2025-08-18
2025-08-18,"Ad - FLA FB Video 89 V5.1",20.02,,,981,54,340,,6,85,617,https://www.facebook.com/?feed_demo_ad=120221415977250627&h=AQAP9Rg2CxRxZVYQ9DQ,2025-08-18,2025-08-18
2025-08-18,"Ad - FLA FB Video 89 V1",615.47,"Website purchases",34,15184,383,4695,772.76,5,913,12062,https://www.facebook.com/?feed_demo_ad=120221413007090627&h=AQBrg-oz61gLxpdJybo,2025-08-18,2025-08-18
2025-08-18,"Ad - FLA FB Image 6 V14",12.76,,,258,1,,,,,,https://www.facebook.com/?feed_demo_ad=120216092019000627&h=AQDhL_bHAuYt2moMY0w,2025-08-18,2025-08-18
2025-08-18,"Ad - FLA FB Image 6 V14",2170.31,"Website purchases",122,37799,710,,3369.41,,,,https://www.facebook.com/?feed_demo_ad=120217139460020627&h=AQAJDBl0jCnPWfcNkjU,2025-08-18,2025-08-18
2025-08-18,"Ad - FLA FB Image 6 V14",60.48,"Website purchases",4,1323,21,,144.3,,,,https://www.facebook.com/?feed_demo_ad=120216352965810627&h=AQBFA43azxNWyutcWbM,2025-08-18,2025-08-18
2025-08-18,"Ad - FLA FB Image 6 V14",73.83,"Website purchases",2,1888,23,,55.83,,,,https://www.facebook.com/?feed_demo_ad=120216353077850627&h=AQCm7uQkpxB3K2YqRWE,2025-08-18,2025-08-18
2025-08-18,"Ad - FLA FB Image 6 V14",1022.6,"Website purchases",35,25930,229,,1204.62,,,,https://www.facebook.com/?feed_demo_ad=120217139546990627&h=AQCcZZDQ6MfL9CWFESA,2025-08-18,2025-08-18
