Day,"Ad name","Amount spent (USD)","Result type",Results,Impressions,"Link clicks","3-second video plays","Purchases conversion value","Video average play time","Video plays at 75%","Video plays","Preview link","Reporting starts","Reporting ends"
2025-08-18,"Ad - FLD FB Video 52 - V2",52.78,"Website purchases",2,1600,136,715,17,10,223,1387,https://www.facebook.com/?feed_demo_ad=120234318666770204&h=AQAhKs3N6T8SYSqjcLc,2025-08-18,2025-08-18
2025-08-18,"Ad - FLD FB Video 56 - S1 - V2",0,,,2,,,,1,,2,https://www.facebook.com/?feed_demo_ad=120216355025470204&h=AQC6QeP7cQK3UYAJaUQ,2025-08-18,2025-08-18
2025-08-18,"Ad - FLD FB Video 55 - S1 - V2",35.67,"Website purchases",2,2429,16,423,33.95,2,52,2387,https://www.facebook.com/?feed_demo_ad=120216076617910204&h=AQD0dDXRQeG_jnwLqig,2025-08-18,2025-08-18
2025-08-18,"Ad - FLD FB Video 71 - V1",0.28,,,4,,,,0,,2,https://www.facebook.com/?feed_demo_ad=120222564938810204&h=AQBSHfXvOgdvD5uYHqI,2025-08-18,2025-08-18
2025-08-18,"Ad - FLD FB Video 55 - S1 - V1",40.71,"Website purchases",2,2704,11,472,31.2,2,42,2676,https://www.facebook.com/?feed_demo_ad=120216076678810204&h=AQD35YIdMrehE66xLMI,2025-08-18,2025-08-18
2025-08-18,"Ad - FLD FB Video 67 - V2",0,,,1,,,,1,,1,https://www.facebook.com/?feed_demo_ad=120220233414780204&h=AQB29hkRoYoJFsrO_EY,2025-08-18,2025-08-18
2025-08-18,"Ad - FLD FB Image 9 - V1",2.82,,,88,,,,,,,https://www.facebook.com/?feed_demo_ad=120226413265350204&h=AQA86lxeFhRbkfoxFKU,2025-08-18,2025-08-18
2025-08-18,"Ad - FLD FB Video 54 - S1 - V1",2.3,,,44,1,15,,4,2,38,https://www.facebook.com/?feed_demo_ad=120216018788150204&h=AQBRJE6_jWQUG7IoVA4,2025-08-18,2025-08-18
2025-08-18,"Ad - FLD FB Video 55 - S1 - V1",1.79,,,118,,25,,2,2,116,https://www.facebook.com/?feed_demo_ad=120216076617890204&h=AQCQtaruewNIx0YbjiQ,2025-08-18,2025-08-18
2025-08-18,"Ad - FLD FB Video 55 - S1 - V2",0.99,,,78,,15,,2,3,71,https://www.facebook.com/?feed_demo_ad=120216076678790204&h=AQBapu3QwpDJxoQnSMU,2025-08-18,2025-08-18
